max loop : { 2000, 5000 }
burnin : { 0, 1000 }
interval : { 100, 400 }
theta : [ 0.0, 0.0, 0.0, 0.0 ]
initial loglikelihood : -3465.74

a, b, c, d, loglikelihood
0.770334  -0.282874  -0.620387  0.265296  -3385.11
0.772495  -0.286465  -0.628102  0.270148 -3385.1
0.70186  -0.371752  -0.56667  0.3331 -3385.46
0.78198  -0.322  -0.615524  0.303466 -3385.09
0.769357  -0.333113  -0.621397  0.296237  -3384.98
0.798912  -0.298973  -0.538502  0.229957 -3385.38
0.767453  -0.300275  -0.650566  0.307073  -3385.03
0.726279  -0.363636  -0.634673  0.353149  -3385.15
